,text
322,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Revavroom, Charcadet, Accelgor [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Revavroom | Steel, Poison | 80 | 119 | 90 | 54 | 67 | 90 | None | It creates a gas out of poison and minerals from rocks. It then detonates the gas in its cylinders—now numbering eight—to generate energy. Revavroom viciously threatens others with the sound of its exhaust. It sticks its tongue out from its cylindrical mouth and sprays toxic fluids. |
| Charcadet | Fire | 40 | 50 | 40 | 50 | 40 | 35 | Armarouge | Burnt charcoal came to life and became a Pokémon. Possessing a fiery fighting spirit, Charcadet will battle even tough opponents. Its firepower increases when it fights, reaching over 1,800 degrees Fahrenheit. It likes berries that are rich in fat. |
| Accelgor | Bug | 80 | 70 | 40 | 100 | 60 | 145 | None | Discarding its shell made it nimble. To keep itself from dehydrating, it wraps its body in bands of membrane. Having removed its heavy shell, it becomes very light and can fight with ninja-like movements. When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison. When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane. It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular. |"
323,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Carracosta, Grookey, Wobbuffet [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Carracosta | Water, Rock | 74 | 108 | 133 | 83 | 65 | 32 | None | They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker. It could knock out a foe with a slap from one of its developed front appendages and chew it up, shell or bones and all. It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey. Active both on land and in the sea, this Pokémon drags its land-based prey into the water to finish it off. Incredible jaw strength enables them to chew up steel beams and rocks along with their prey. Carracosta eats every last bit of the prey it catches, even the shells and bones, to further strengthen its sturdy shell. This Pokémon emerges from the water in search of prey despite the fact that it moves more slowly on land. Carracosta completely devours its prey—bones, shells, and all. Because of this, Carracosta’s own shell grows thick and sturdy. Its jaws are terrifyingly powerful. It could eat Omastar and Omanyte whole and not be bothered in the slightest by their shells. |
| Grookey | Grass | 50 | 65 | 50 | 40 | 40 | 65 | Thwackey | It attacks with rapid beats of its stick. As it strikes with amazing speed, it gets more and more pumped. When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area. |
| Wobbuffet | Psychic | 190 | 33 | 58 | 33 | 58 | 33 | None | Usually docile, a WOBBUFFET strikes back ferociously if its black tail is attacked. It makes its lair in caves where it waits for nightfall. If two or more Wobbuffet meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit. In order to con­ ceal its black tail, it lives in a dark cave and only moves about at night. It hates light and shock. If attacked, it inflates its body to pump up its counterstrike. WOBBUFFET does nothing but endure attacks - it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the POKéMON will try to take the foe with it using DESTINY BOND. Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond. It hates light and shock. If attacked, it inflates its body to build up its counterstrike. To keep its pitch- black tail hidden, it lives quietly in the darkness. It is never first to attack. If two or more WOBBUFFET meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. TRAINERS need to beware of this habit. It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret. To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack. It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike. |"
324,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Magby [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Magby | Fire | 45 | 75 | 37 | 70 | 55 | 83 | Magmar | It is found in volcanic craters. Its body temp. is over 1100 degrees, so don't under­ estimate it. A famous potter lives with a Magby. Apparently its soft flames produce fine works. Magby’s state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames. Its magma-like blood circulates throughout its body. Its body’s heat can top 1,100 degrees Fahrenheit. Its magma-like blood circulates throughout its body. Its body’s heat can top 1,100 degrees F. It is found in volcanic craters. Its body temperature is over 1,100 degrees Fahrenheit, so don’t underestimate it. Its body temperature is always around 1,100 degrees Fahrenheit. If Magby falls into a small- enough pond, the whole thing will dry up. It’s small, but its body temperature is over 1,100 degrees Fahrenheit. Embers escape its mouth and nose when it breathes. MAGBY’s state of health is determined by observing the fire it breathes. If the POKéMON is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames. It is found in volcanic craters. Its body heat exceeds 1,100 degrees Fahrenheit, so don’t underestimate it. It naturally spits an 1100-degree flame. It is said when many appear, it heralds a volcanic eruption. When flames drip from its nose, that means it has a cold. Have it lie down for a nice rest in some magma. Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils. This Pokémon lives in volcanic areas. With each breath, sparks spurt from its mouth and nose. When Magby is in good health, its flames gain a yellow tint. Many of these Pokémon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F. If a MAGBY is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames. This Pokémon makes its home near volcanoes. At the end of the day, Magby soaks in magma, resting and recovering from the day’s fatigue. Its body temperature is around 1,100 degrees F. It is healthy if it is breathing yellow flames. It’s small, but its body temperature is over 1,100 degrees F. Embers escape its mouth and nose when it breathes. Each and every time it inhales and exhales, hot embers dribble from its mouth and nostrils. This Pokémon is still small and timid. Whenever Magby gets excited or surprised, flames leak from its mouth and its nose. |"
325,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Persian, Sandshrew, Aurorus [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Persian | Normal | 65 | 70 | 60 | 65 | 65 | 115 | None | Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers. A very haughty Pokémon. Among fans, the size of the jewel in its forehead is a topic of much talk. Behind its lithe, elegant appearance lies a barbaric side. It will tear apart its prey on a mere whim. It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds. Has a vicious temperament. Beware if it raises its tail straight up. It is a signal that it is about to pounce and bite. Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed. Its lithe muscles allow it to walk without making a sound. It attacks in an instant. Many adore it for its sophisticated air. However, it will lash out and scratch for little reason. The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen. This Pokémon is popular with rich people. It’s also targeted by hunters who are after the jewel in its forehead. It has a high opinion of itself, although not to the same extent as the Alolan Persian. It’s quite difficult to make friends with this Pokémon. PERSIAN has six bold whiskers that give it a look of toughness. The whiskers   sense air movements to determine what is in the POKéMON’s surrounding vicinity. It becomes docile if grabbed by the whiskers. Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness. Its elegant and refined behavior clashes with that of the barbaric Perrserker. The relationship between the two is one of mutual disdain. A PERSIAN’s six bold whiskers sense air movements to determine what is in its vicinity. It becomes docile if grabbed by the whiskers. Although the jewel on its forehead appears to be a different color than those of Alolan Persian, it’s mostly made of the same material. |
| Sandshrew | Ground | 50 | 75 | 85 | 20 | 30 | 40 | Sandslash | It can roll its body into a ball. It moves through the desert by rolling at high speeds. It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks. When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out. It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging. Sandshrew’s body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies. If it fell from a great height, this Pokémon could save itself by rolling into a ball and bouncing. SANDSHREW’s body is configured to absorb water without waste, enabling it to survive in an arid desert. This POKéMON curls up to protect itself from its enemies. It lives in areas of limited rainfall. When danger approaches, it curls up into a ball to protect its soft stomach. It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body. Disliking water, it lives in deep burrows in arid areas. It can roll itself instantly into a ball. To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall. Burrows deep underground in arid locations far from water. It only emerges to hunt for food. It burrows and lives underground. If threatened, it curls itself up into a ball for protection. When it curls up in a ball, it can make any attack bounce off harmlessly. Its hide has turned tough and solid as a result of living in the desert. Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew. It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokémon. SANDSHREW has a very dry hide that is extremely tough. The POKéMON can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep. It prefers dry, sandy places because it uses the sand to protect itself when threatened. Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep. Burrows deep underground in arid locations far from water. It only emerges to hunt for prey. If it fell from a great height, this POKéMON could save itself by rolling into a ball and bouncing. |
| Aurorus | Rock, Ice | 123 | 77 | 72 | 99 | 92 | 58 | None | The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice. An Aurorus was found frozen solid within a glacier, just as it appeared long ago, which became quite a big event in the news. Using its diamond-shaped crystals, it can instantly create a wall of ice to block an opponent’s attack. Aurorus was restored from a fossil. It’s said that when this Pokémon howls, auroras appear in the night sky. This usually quiet and kindly Pokémon has a surface temperature of around –240 degrees Fahrenheit. When gripped by rage, Aurorus will emanate freezing air, covering everything around it in ice. |"
326,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Meltan, Wailmer, Entei [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Meltan | Steel | 46 | 65 | 65 | 55 | 35 | 34 | None | It melts particles of iron and other metals found in the subsoil, so it can absorb them into its body of molten steel. It dissolves and eats metal. Circulating liquid metal within its body is how it generates energy. They live as a group, but when the time comes, one strong Meltan will absorb all the others and evolve. |
| Wailmer | Water | 130 | 70 | 35 | 70 | 35 | 60 | Wailord | Wailmer can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water, this Pokémon can elevate the height of its bounces. It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day. Wailmer’s nostrils are located above its eyes. This playful Pokémon loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils. WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils. While this POKéMON usually lives in the sea, it can survive on land, although not too long. It loses vitality if its body becomes dried out. On sunny days, it lands on beaches to bounce like a ball and play. It spouts water from its nose. When it sucks in a large volume of seawater, it becomes like a big, bouncy ball. It eats a ton of food daily. It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball. It swims along with its mouth open and swallows down seawater along with its food. It sprays excess water out of its nostrils. It eats one ton of food every day. It plays by shooting stored seawater out its blowholes with great force. It bounces playfully like a ball. The more seawater it swallows, the higher it bounces. Due to their memories of when they once lived on land, pods of them will, very rarely, wash up on shore. WAILMER can store water inside its body to transform itself into a ball for bouncing around on the ground. By filling itself up with more water, this POKéMON can elevate the height of its bounces. |
| Entei | Fire | 115 | 115 | 85 | 90 | 75 | 100 | None | ENTEI embodies the passion of magma. It is thought to have been born in the eruption of a volcano. It blasts fire that consumes all that it touches. It is said that when it roars, a volcano erupts somewhere around the globe. Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land. Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land. Volcanoes erupt when it barks. Unable to contain its sheer power, it races headlong around the land. This brawny POKéMON courses around the earth, spouting flames hotter than a volcano's magma. A POKéMON that races across the land. It is said that one is born every time a new volcano appears. A Pokémon that races across the land. It is said that one is born every time a new volcano appears. ENTEI embodies the passion of magma. This POKéMON is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch. Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch. |"
327,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Dhelmise [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dhelmise | Ghost, Grass | 70 | 131 | 100 | 86 | 90 | 40 | None | Its chain-like green seaweed can stretch outward for hundreds of yards. For some reason, it gets along well with Skrelp. It wraps its prey in green seaweed and sucks away their vitality. It only likes to go after big prey like Wailord. The soul of seaweed adrift in the waves became reborn as this Pokémon. It maintains itself with new infusions of seabed detritus and seaweed. After lowering its anchor, it waits for its prey. It catches large Wailord and drains their life-force. After a piece of seaweed merged with debris from a sunken ship, it was reborn as this ghost Pokémon. Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body. |"
328,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Drowzee, Tympole, Porygon2, Sewaddle [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Drowzee | Psychic | 60 | 48 | 45 | 43 | 90 | 42 | Hypno | A descendent of the legendary animal baku, which is said to eat dreams. It is skilled at hypnotism. It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams. Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating only bad dreams. It can be spotted near recreational facilities, intending to eat the pleasant dreams of children who enjoyed themselves there that day. Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams. If you think that you had a good dream but you can’t remember it, a DROWZEE has probably eaten it. It finds really fun dreams tasty. When it makes friends with people, it may show them the most delicious dreams it’s ever eaten. A Pokémon that nourishes itself by eating dreams, it is thought to share common ancestry with Munna and Musharna. If you think that you had a good dream but you can’t remember it, a Drowzee has probably eaten it. If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these POKéMON is standing above your pillow and trying to eat your dream through your nostrils. It remembers every dream it eats. It rarely eats the dreams of adults because children's are much tastier. If you sleep by it all the time, it will sometimes show you dreams it has eaten in the past. If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils. If you think that you had a good dream, but you can't remember it, a DROWZEE has probably eaten it. If your nose becomes itchy while you are sleeping, it’s a sure sign that a DROWZEE is standing above your pillow and trying to eat your dream through your nostrils. When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about. If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past. It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn’t particularly like eating them. It remembers every dream it eats. It rarely eats the dreams of adults because children’s are much tastier. |
| Tympole | Water | 50 | 50 | 40 | 50 | 40 | 64 | Palpitoad | By vibrating its cheeks, it emits sound waves imperceptible to humans. It uses the rhythm of these sounds to talk. It uses sound waves to communicate with others of its kind. People and other Pokémon species can’t hear its cries of warning. They warn others of danger by vibrating their cheeks to create a high-pitched sound. By vibrating its cheeks, it emits sound waves imperceptible to humans and warns others of danger. Graceful ripples running across the water’s surface are a sure sign that Tympole are singing in high-pitched voices below. |
| Porygon2 | Normal | 85 | 80 | 90 | 105 | 95 | 60 | Porygon-z | With planetary development software installed, it became capable of working in space. It was created by humans using the power of science. It has been given artificial intelligence that enables it to learn new gestures and emotions on its own. This upgraded version of PORYGON is designed for space exploration. However, it can’t even fly. Further research enhanced its  abilities. Sometimes, it may exhibit motions that were not programmed. This upgraded version of PORYGON is designed for space exploration. It can’t fly, however. After artificial intelligence was implemented in Porygon2, the Pokémon began using a strange language that only other Porygon2 understand. For the purposes of planetary development, Porygon was updated with the most cutting-edge technology available. Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own. PORYGON2 was created by humans using the power of science. The man-made POKéMON has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own. This upgraded version of PORYGON is designed for space exploration. It can't fly, though. This is a Porygon that was updated with special data. Porygon2 develops itself by learning about many different subjects all on its own. Further research enhanced its abil­ ities. Sometimes, it may exhibit motions that were not programmed. Further research enhanced its abilities. Sometimes, it may exhibit motions that were not programmed. It was upgraded to enable the exploration of other planets. However, it failed to measure up. Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet. This manmade POKéMON evolved from the latest technology. It may have unprog­ rammed reactions. AI has been installed in it. It learns various things all on its own, but it even remembers things it doesn’t need to know. Even though it doesn’t die in the vacuum of space, it can’t move around very well in zero gravity. A bizarre item caused this Pokémon to evolve. While it now exhibits many new gestures and expressions, its biology remains inscrutable. |
| Sewaddle | Bug, Grass | 45 | 53 | 70 | 40 | 60 | 42 | Swadloon | This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth. Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping. Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers. |"
329,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Pupitar, Brambleghast, Pawmi, Poliwrath [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pupitar | Rock, Ground | 70 | 84 | 70 | 65 | 70 | 51 | Tyranitar | Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel. This troublesome Pokémon can’t wait to evolve, so it relieves its stress by wildly propelling itself around using compressed gas. Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain. PUPITAR creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable - it avoids damage even if it hits solid steel. A PUPITAR creates a gas inside its body that it ejects under compression to propel itself like a jet. Its body can withstand a collision with solid steel. This pupa flies around wildly by venting with great force the gas pressurized inside its body. It will not stay still, even while it’s a pupa. It already has arms and legs under its solid shell. Even sealed in its shell, it can move freely. Hard and fast, it has out­ standing destruc­ tive power. Its body is as hard as bedrock. By venting pressurized gas, it can launch itself like a rocket. This dangerous pupa thrashes about. Its shell is as hard as bedrock, containing its gradually forming new body within. It will not stay still, even while it's a pupa. It already has arms and legs under its solid shell. Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain. Even sealed in its shell, it can move freely. Hard and fast, it has outstanding destructive power. |
| Brambleghast | Grass, Ghost | 55 | 115 | 70 | 80 | 70 | 90 | None | Brambleghast wanders around arid regions. On rare occasions, mass outbreaks of these Pokémon will bury an entire town. It will open the branches of its head to envelop its prey. Once it absorbs all the life energy it needs, it expels the prey and discards it. |
| Pawmi | Electric | 45 | 50 | 20 | 40 | 25 | 60 | Pawmo | The pads of its paws are electricity-discharging organs. Pawmi fires electricity from its forepaws while standing unsteadily on its hind legs. It has underdeveloped electric sacs on its cheeks. These sacs can produce electricity only if Pawmi rubs them furiously with the pads on its forepaws. |
| Poliwrath | Water, Fighting | 90 | 95 | 95 | 70 | 90 | 70 | None | Swims powerfully using all the muscles in its body. It can even overtake world-class swimmers. Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath. This strong and skilled swimmer is even capable of crossing the Pacific Ocean just by kicking. Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop. Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward. With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting. Although an energetic, skilled swimmer that uses all of its muscles, it lives on dry land. It can use its well-developed arms and legs to run on the surface of the water for a split second. The muscles it has developed through swimming are thick and powerful. When it lands a square punch, it can turn huge boulders to dust. A swimmer adept at both the front crawl and breaststroke. Easily overtakes the best human swimmers. Its highly developed muscles never grow fatigued, however much it exercises. This POKéMON can swim back and forth across the Pacific Ocean without effort. An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers. It’s quite a gifted swimmer, even among Water-type Pokémon, but it normally spends its time on land. Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort. Poliwrath is skilled at both swimming and martial arts. It uses its well-trained arms to dish out powerful punches. An adept swimmer, it knows the front crawl, butterfly, and more. It is faster than the best human swimmers. Although an ener­ getic, skilled swimmer that uses all of its mus­ cles, it lives on dry land. Swims powerfully using all the muscles in its body. It can even overtake champion swimmers. POLIWRATH’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this POKéMON can swim back and forth across the Pacific Ocean without effort. |"
330,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Pawmot [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pawmot | Electric, Fighting | 70 | 115 | 70 | 70 | 60 | 105 | None | Pawmot’s fluffy fur acts as a battery. It can store the same amount of electricity as an electric car. This Pokémon normally is slow to react, but once it enters battle, it will strike down its enemies with lightning-fast movements. |"
331,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Toxapex, Gurdurr [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Toxapex | Poison, Water | 50 | 63 | 152 | 53 | 142 | 35 | None | Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake. Those attacked by Toxapex’s poison will suffer intense pain for three days and three nights. Post-recovery, there will be some aftereffects. To attack, this Pokémon sends toxic spikes flying at its enemies. Ones that come close get mown down by the claws on its feet. Within the poison sac in its body is a poison so toxic that Pokémon as large as Wailord will still be suffering three days after it first takes effect. With its 12 legs, it creates a dome to shelter within. The flow of the tides doesn’t affect Toxapex in there, so it’s very comfortable. To survive in the cold waters of Galar, this Pokémon forms a dome with its legs, enclosing its body so it can capture its own body heat. |
| Gurdurr | Fighting | 85 | 105 | 85 | 40 | 50 | 40 | Conkeldurr | This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch. They strengthen their bodies by carrying steel beams. They show off their big muscles to their friends. With strengthened bodies, they skillfully wield steel beams to take down buildings. It shows off its muscles to Machoke and other Gurdurr. If it fails to measure up to the other Pokémon, it lies low for a little while. Gurdurr excels at demolition—construction is not its forte. In any case, there’s skill in the way this Pokémon wields its metal beam. |"
332,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Snorunt [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Snorunt | Ice | 50 | 50 | 50 | 50 | 50 | 50 | Glalie | In the snow country, certain folklore says a house will prosper if a SNORUNT lives there. Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come. It’s said that if they are seen at midnight, they’ll cause heavy snow. They eat snow and ice to survive. It is said that several Snorunt gather under giant leaves and live together in harmony. They tend to move about in groups of around five SNORUNT. In snowy regions, it is said that when they are seen late at night, snowfall will arrive by morning. SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns. It is said that a home visited by a SNORUNT will prosper. It can withstand cold of minus 150 degrees Fahrenheit. It is said that several SNORUNT gather under giant leaves and live together in harmony. In the snow country, certain folklore says a house will prosper if a Snorunt lives there. It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit. SNORUNT survives by eating only snow and ice. Old folklore claims that a house visited by this POKéMON is sure to prosper for many generations to come. Arrives alongside the first snow. It's thought that homes Snorunt visit will prosper for many generations. By tradition, one might offer a lump of ice made from pure water at one's front door. Rich people from cold areas all share childhood memories of playing with Snorunt. Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come. It can only survive in cold areas. It bounces happily around, even in environments as cold as −150 degrees Fahrenheit. It feeds mainly on ice and snow. It’s only able to survive in a limited number of places in the warm Alola region. Snorunt live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this Pokémon steals away to live quietly among stalactites and stalagmites deep in caverns. |"
