Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
"Regieleki, Buzzwole","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Regieleki | Grass | 65 | 120 | 90 | 70 | 80 | 100 | - | A grass-type Pokémon that can grow vines to restrain its opponents. |
| Buzzwole | Bug | 60 | 130 | 100 | 80 | 90 | 120 | - | A bug-type Pokémon known for its incredible strength and speed. |",0.6424220204353333,0.2349220067262649
"Hippowdon, Piloswine, Serperior","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hippowdon | Ground | 60 | 120 | 85 | 90 | 70 | 40 | - | A large, hippo-like Pokémon with powerful legs and sharp fangs. It can use its strength to crush opponents with ease. |
| Piloswine | Water | 50 | 90 | 70 | 85 | 60 | 30 | - | A large, walrus-like Pokémon that lives in the ocean. Its tusks are very strong and can cause massive damage. |
| Serperior | Dragon | 70 | 120 | 90 | 85 | 70 | 40 | - | A serpentine Pokémon with a dragon-like body. It has incredible speed and agility, making it a formidable opponent. |",0.7108643651008606,0.1435310542583465
Starly,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Starly | Normal | 60 | 120 | 95 | 70 | 45 | 85 | - | A bird-like Pokémon that can fly at high speeds. It is known for its quick movements and sharp claws. |",0.5718005895614624,0.1518006175756454
Ribombee,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ribombee | Bug | 60 | 120 | 85 | 95 | 70 | 40 | - | A small bee-like Pokémon with a yellow and black body. It can create powerful vibrations using its wings to attack opponents. |",0.7021141648292542,0.5261141657829285
"Timburr, Trumbeak, Arctovish, Helioptile","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Timburr | Grass | 60 | 45 | 30 | 20 | 15 | 40 | - | A grass-type Pokémon that can grow vines to trap its opponents. |
| Trumbeak | Flying | 70 | 60 | 40 | 30 | 25 | 45 | - | A flying-type Pokémon known for its sharp beak and powerful wings. |
| Arctovish | Water | 80 | 65 | 45 | 30 | 25 | 50 | - | An aquatic Pokémon with the ability to generate intense cold temperatures. |
| Helioptile | Fire | 90 | 70 | 50 | 35 | 25 | 60 | - | A fire-type Pokémon with a fiery mane and the ability to shoot flames from its mouth. |",0.6487932205200195,0.1435432136058807
"Kartana, Inteleon, Pelipper, Stufful","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Kartana | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can create massive waves and whirlpools. Its attacks are powerful but slow. |
| Inteleon | Electric | 60 | 130 | 100 | 90 | 80 | 60 | - | An electric-type Pokémon that can generate intense electrical discharges from its body. It has high attack power but low defense. |
| Pelipper | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A water-type Pokémon that can shoot powerful water jets from its beak. It is fast on land but slow in the water. |
| Stufful | Normal | 60 | 100 | 80 | 70 | 60 | 40 | - | A normal-type Pokémon that can inflate itself to defend against attacks. It has decent stats all around but lacks special moves. |",0.6729682683944702,0.138468250632286
Solrock,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Solrock | Rock | 60 | 120 | 95 | 85 | 70 | 40 | Geodude | A rock-type Pokémon that can create powerful earthquakes. Its strong body and high defense make it a formidable opponent in battle. |",0.6648730635643005,0.1448730379343032
"Wingull, Dialga, Hawlucha","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Wingull | Water | 60 | 120 | 85 | 95 | 70 | 40 | - | A water bird that can fly at high speeds. It is known for its intelligence and ability to communicate with other Pokémon. |
| Dialga | Steel | 130 | 100 | 80 | 90 | 70 | 40 | - | A powerful steel-type Pokémon that is said to have created the universe. Its incredible strength allows it to create massive structures out of metal. |
| Hawlucha | Fighting | 90 | 120 | 90 | 100 | 70 | 40 | - | A fierce fighting-type Pokémon with sharp claws and teeth. It is known for its agility and quick reflexes in battle. |",0.6328070163726807,0.1448070406913757
Miraidon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Miraidon | Fire | 60 | 120 | 90 | 85 | 70 | 100 | Groudon | A powerful and ancient Pokémon that can control the earth. It has incredible strength and can create massive earthquakes. |",0.5335975289344788,0.1485975086688995
Numel,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Numel | Grass | 60 | 120 | 90 | 45 | 70 | 85 | N/A | A grass-type Pokémon that can evolve into Primeape. It has the ability to control plants and use them for its attacks. |",0.524104118347168,0.2291041165590286
"Nincada, Bisharp, Venipede, Staryu","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Nincada | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with a long, fluffy tail. It can use its powerful jaws to bite through almost anything. |
| Bisharp | Steel | 70 | 130 | 90 | 100 | 80 | 50 | - | A large and menacing Pokémon with sharp fangs and claws. Its body is covered in hard steel plates for protection. |
| Venipede | Bug | 65 | 110 | 95 | 105 | 85 | 60 | - | A massive, centipede-like Pokémon with many legs that it uses to burrow underground. Its venomous bites are deadly to its enemies. |
| Staryu | Water | 70 | 100 | 90 | 110 | 80 | 60 | - | A small, starfish-like Pokémon with the ability to control water. It can create powerful waves by flapping its fins. |",0.5943219661712646,0.1403219699859619
"Shiinotic, Clefable, Vanillite, Spiritomb","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shiinotic | Grass | 60 | 120 | 90 | 45 | 70 | 85 | - | A grass-type Pokémon that can heal itself and its allies. |
| Clefable | Psychic | 70 | 130 | 100 | 60 | 90 | 110 | - | A psychic-type Pokémon that can use powerful psychic attacks. |
| Vanillite | Ice | 60 | 90 | 70 | 40 | 65 | 85 | Evolves into Vanilluxe at level 16 | A ice-type Pokémon that can create ice crystals to attack its opponents. |
| Spiritomb | Ghost | 70 | 100 | 60 | 40 | 70 | 90 | - | A ghost-type Pokémon that can summon the spirits of the dead to fight for it. |",0.6713443398475647,0.1433443427085876
"Sudowoodo, Galvantula","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Sudowoodo | Grass | 60 | 120 | 85 | 95 | 70 | 40 | Sceptile | A tall, slender Pokémon with long arms and legs. It can stretch its body to great lengths using its incredible flexibility. |
| Galvantula | Bug | 70 | 130 | 90 | 100 | 80 | 50 | Voltorb | A large, spider-like Pokémon with powerful jaws and sharp fangs. Its venomous bites are highly poisonous. |",0.6158115863800049,0.1428115665912628
Beldum,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Beldum | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, slow-moving Pokémon with a hard shell. It can roll into a ball for defense. |",0.5758718252182007,0.1458718329668045
"Shinx, Stoutland, Flamigo, Roserade","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shinx | Fire | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, mischievous Pokémon that can create powerful fire attacks. |
| Stoutland | Ground | 70 | 130 | 90 | 100 | 80 | 50 | - | A large and powerful Pokémon that excels in battle. |
| Flamigo | Fire | 60 | 120 | 85 | 95 | 70 | 40 | - | A fierce and intimidating Pokémon that can create massive flames. |
| Roserade | Poison | 60 | 120 | 85 | 95 | 70 | 40 | - | A mysterious and deadly Pokémon that can control the power of poison. |",0.670973539352417,0.1449735462665558
"Skiploom, Luxio, Hoopa, Sawk","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Skiploom | Grass | 60 | 120 | 95 | 70 | 85 | 45 | - | A tall, slender grass-type Pokémon with large leaves on its head. It can create powerful vines to restrain opponents and heal itself. |
| Luxio | Electric | 65 | 130 | 100 | 80 | 90 | 50 | - | A small, rodent-like Pokémon with the ability to generate electricity in its body. Its attacks are highly charged with electricity. |
| Hoopa | Psychic | 70 | 140 | 110 | 90 | 100 | 60 | - | A mysterious Pokémon that has the power of psychic energy. It can use this energy to attack or defend itself. |
| Sawk | Flying | 75 | 150 | 120 | 90 | 100 | 70 | - | A bird-like Pokémon with incredible speed and agility. It is known for its swift and precise movements. |",0.655994176864624,0.1402441710233688
"Corsola, Glameow, Lapras, Shellder","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Corsola | Water | 60 | 120 | 90 | 75 | 100 | 85 | - | A sea-dwelling Pokémon that can create powerful waves to wash away its opponents. Its evolved form, Anorith, is even more powerful. |
| Glameow | Fire | 45 | 90 | 130 | 80 | 100 | 90 | - | A fierce and agile Pokémon with the ability to generate intense heat from its body. It can also use its tail as a weapon. |
| Lapras | Ice | 70 | 120 | 90 | 80 | 100 | 90 | - | A large ice fish Pokémon that can move at high speeds underwater. Its evolved form, Dialga, is a legendary Pokémon that controls time itself. |
| Shellder | Rock | 50 | 80 | 100 | 70 | 90 | 80 | - | A slow but hardy Pokémon that can roll into a ball for defense. Its evolved form, Slugger, is an even stronger version of this Pokémon. |",0.6249051690101624,0.1456552147865295
"Silvally, Goomy, Crawdaunt","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Silvally | Grass/Fairy | 65 | 120 | 90 | 70 | 80 | 40 | - | A dual-type Pokémon that can change its type to match the environment. |
| Goomy | Poison | 45 | 70 | 60 | 50 | 60 | 30 | - | An ancient Pokémon that can release poisonous gas from its body. |
| Crawdaunt | Rock/Steel | 70 | 100 | 80 | 60 | 70 | 40 | - | A powerful and intimidating Pokémon with incredible strength. |",0.7036416530609131,0.14430832862854
"Blastoise, Poliwag","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Blastoise | Water | 120 | 95 | 60 | 45 | 30 | 70 | Squirtle ( evolution ) | A large, blue turtle-like Pokémon with powerful water cannons on its back. It is known for its incredible strength and ability to shoot powerful water blasts from its cannons. |
| Poliwag | Water | 80 | 65 | 40 | 30 | 20 | 50 | Squirtle ( evolution ) | A small, blue fish-like Pokémon with a distinctive fin on its head. It has the ability to swim at high speeds and can use its tail as a weapon. |",0.6803420782089233,0.2508421242237091
"Houndstone, Herdier, Cramorant","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Houndstone | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A grass-type Pokémon that can heal itself and its allies. |
| Herdier | Normal | 50 | 90 | 65 | 75 | 50 | 30 | - | A normal-type Pokémon that can use the move ""Faint Attack"" to lower opponents' HP. |
| Cramorant | Water | 70 | 130 | 90 | 80 | 60 | 40 | - | A water-type Pokémon that can use the move ""Water Gun"" to deal massive damage to opponents. |",0.7187486290931702,0.1424153298139572
"Dustox, Tyrunt","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dustox | Bug | 60 | 120 | 95 | 70 | 45 | 85 | - | A dust-based Pokémon that can create powerful sandstorms. |
| Tyrunt | Rock | 70 | 130 | 90 | 75 | 50 | 100 | - | An ancient Pokémon that is said to have been created by the gods themselves. |",0.6827936172485352,0.1492936611175537
Umbreon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Umbreon | Normal | 60 | 120 | 95 | 70 | 85 | 100 | - | A dark and mysterious Pokémon that can sense its surroundings with great accuracy. It is known for its ability to create powerful illusions. |",0.6505119800567627,0.2455119788646698
"Ledyba, Bounsweet, Chikorita, Skuntank","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ledyba | Grass | 60 | 85 | 70 | 120 | 90 | 40 | - | A small, rodent-like Pokémon with large ears and a long tail. It can use its powerful legs to burrow underground quickly. |
| Bounsweet | Normal | 60 | 70 | 60 | 90 | 70 | 30 | - | A sweet-toothed Pokémon that loves to eat sweets. Its body is covered in soft, fluffy fur. |
| Chikorita | Grass | 60 | 80 | 70 | 90 | 70 | 40 | - | A plant-like Pokémon with large leaves on its head and strong arms for digging. It can photosynthesize like a plant, allowing it to survive without food. |
| Skuntank | Metal | 70 | 90 | 80 | 70 | 100 | 60 | - | A robotic Pokémon created by the scientist who discovered the power of the ancient fossil fuel, Zygarde. It has a high attack stat but low defense. |",0.6333654522895813,0.1381154358386993
"Tropius, Brambleghast, Steelix, Raticate","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tropius | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large, serpentine Pokémon with the ability to control water. It can create massive waves and whirlpools that can drag its opponents underwater. |
| Brambleghast | Grass | 50 | 90 | 70 | 60 | 50 | 30 | - | A large, plant-like Pokémon covered in thorny vines. Its attacks are weak but it has high defense. |
| Steelix | Metal | 70 | 120 | 90 | 80 | 70 | 40 | - | A long, snake-like Pokémon made entirely of metal. Its body is incredibly durable and resistant to damage. |
| Raticate | Bug | 60 | 90 | 70 | 60 | 50 | 30 | - | A small rodent-like Pokémon with sharp teeth and claws. It can burrow through the ground quickly and attack from beneath the enemy's feet. |",0.7125250101089478,0.2450249940156936
"Volbeat, Komala, Krokorok","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Volbeat | Bug | 60 | 125 | 90 | 85 | 70 | 40 | - | A Rock-type Pokémon that can create powerful earthquakes. Its vibrations can also cause confusion and disrupt its opponents' movements. |
| Komala | Grass | 60 | 130 | 100 | 90 | 80 | 50 | - | A Grass-type Pokémon that uses its long arms to attack its opponents. It is known for its gentle nature and ability to heal itself using its vines. |
| Krokorok | Dark | 60 | 120 | 100 | 90 | 80 | 60 | - | A Dark-type Pokémon with a large body and sharp claws. It has the ability to control plants and use them to attack its enemies. |",0.7028687000274658,0.1385353207588195
"Nymble, Veluza, Applin","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Nymble | Normal | 60 | 120 | 90 | 75 | 40 | 80 | - | A small, rodent-like Pokémon with large ears and sharp claws. It can dig underground quickly and is known for its speed and agility. |
| Veluza | Fire | 70 | 130 | 100 | 80 | 50 | 90 | - | A large, lizard-like Pokémon with flames erupting from its mouth. Its fiery breath can melt through almost anything. |
| Applin | Grass | 60 | 110 | 80 | 70 | 40 | 70 | - | A small, tree-dwelling Pokémon with long branches that it uses to swing around like a vine. It has a strong connection to nature and can sense the emotions of those around it. |",0.6055184602737427,0.1345184594392776
"Binacle, Mabosstiff, Aurorus","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Binacle | Water | 60 | 120 | 90 | 75 | 45 | 80 | - | A bivalve-like Pokémon that can create powerful waves. |
| Mabosstiff | Ground | 50 | 90 | 70 | 60 | 35 | 65 | - | A large and muscular dog-like Pokémon. |
| Aurorus | Ice | 70 | 100 | 60 | 80 | 45 | 75 | - | An ice-type Pokémon with the ability to control snow and ice. |",0.6747018694877625,0.1387018859386444
Diggersby,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Diggersby | Ground / Dark | 60 | 120 | 95 | 70 | 85 | 45 | - | A dark and mysterious Pokémon that can sense its surroundings using its powerful senses. It is known to be able to dig through the ground at incredible speeds. |",0.7208290100097656,0.2554956972599029
Fraxure,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Fraxure | Fire | 60 | 120 | 90 | 85 | 70 | 40 | none | A small, rodent-like Pokémon with a fluffy tail. It has the ability to generate intense heat from its body, which it uses to attack its opponents. |",0.6226968169212341,0.1436968296766281
"Pikachu, Clobbopus, Orbeetle","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pikachu | Electric | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, rodent-like Pokémon with electric powers. Can store energy in its cheeks and release it as powerful attacks. |
| Clobbopus | Rock | 60 | 100 | 70 | 80 | 60 | 30 | - | A large, lizard-like Pokémon with a strong sense of smell. Its claws are very sharp and can cause serious damage to opponents. |
| Orbeetle | Bug | 60 | 90 | 60 | 70 | 80 | 40 | - | A slow but steady Pokémon that can create barriers around itself for defense. Also has the ability to burrow underground quickly. |",0.6440478563308716,0.1403812021017074
"Xerneas, Stonjourner","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Xerneas | Fairy | 120 | 150 | 90 | 60 | 40 | 80 | - | A legendary Pokémon from the mythology of ancient times. It is said to have created the universe and all living things within it. |
| Stonjourner | Rock | 70 | 100 | 60 | 30 | 50 | 70 | - | A large, rock-like Pokémon that can create massive earthquakes by moving its body. Its movements are slow but powerful. |",0.769173264503479,0.3431732654571533
"Mawile, Munna, Gastly","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mawile | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A powerful and intimidating Pokémon with a fierce determination. |
| Munna | Psychic | 50 | 90 | 70 | 60 | 50 | 30 | - | A mysterious Pokémon that can sense its surroundings through telepathy. |
| Gastly | Poison | 40 | 70 | 50 | 60 | 40 | 20 | - | A ghost-like Pokémon that is said to be created from the remains of poisonous plants. |",0.6955245137214661,0.148524522781372
"Gothitelle, Dedenne, Pidove","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Gothitelle | Psychic | 70 | 125 | 90 | 60 | 40 | 85 | - | A legendary Pokémon known for its wisdom and power. It can create powerful illusions to confuse opponents. |
| Dedenne | Electric | 60 | 90 | 65 | 45 | 30 | 70 | - | A Pokémon that generates electricity in its body to attack its opponents. Its attacks are highly charged with energy. |
| Pidove | Normal | 40 | 60 | 50 | 30 | 20 | 50 | - | A bird-like Pokémon that is known for its speed and agility. It can fly at incredible speeds and dodge attacks with ease. |",0.7390393614768982,0.1353726685047149
"Sneasler, Hatenna, Shroodle","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Sneasler | Normal | 60 | 120 | 90 | 75 | 45 | 85 | - | A grass-type Pokémon that can grow vines to trap its opponents. Its vines also have the ability to absorb and neutralize attacks from other Pokémon. |
| Hatenna | Bug | 55 | 90 | 60 | 70 | 30 | 60 | - | A bug-type Pokémon that can create illusions to confuse its opponents. It can also release a swarm of smaller bugs to attack its foes. |
| Shroodle | Rock | 70 | 100 | 80 | 60 | 40 | 70 | - | A rock-type Pokémon that can create massive rocks to block its opponents' attacks. It can also crush its opponents with its powerful legs. |",0.6164422035217285,0.1334422081708908
"Anorith, Plusle","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Anorith | Bug | 60 | 120 | 95 | 70 | 45 | 85 | - | A dual-type Pokémon that can change its form to adapt to different situations. |
| Plusle | Water | 55 | 90 | 130 | 80 | 50 | 100 | - | A small, cute Pokémon that is known for its playful nature and high attack power. |",0.6637840270996094,0.1387840211391449
"Archen, Bidoof, Bulbasaur","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Archen | Fire | 60 | 120 | 90 | 65 | 45 | 70 | - | A Pokémon that can create massive fires and burn its opponents. |
| Bidoof | Normal | 45 | 80 | 60 | 40 | 30 | 50 | - | A small, rodent-like Pokémon known for its speed and agility. |
| Bulbasaur | Grass | 60 | 90 | 70 | 60 | 45 | 65 | - | A Pokémon that can evolve into Ivysaur and then Venusaur. |",0.6900874376296997,0.1374207437038421
"Cascoon, Alomomola, Rayquaza, Electrode","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cascoon | Bug | 60 | 120 | 95 | 70 | 85 | 40 | - | A caterpillar-like Pokémon that can transform into a butterfly. |
| Alomomola | Water | 70 | 130 | 90 | 75 | 90 | 45 | - | A large, blue whale-like Pokémon that can create powerful waves and water attacks. |
| Rayquaza | Flying | 100 | 150 | 120 | 90 | 100 | 50 | - | A legendary bird-like Pokémon that soars through the skies and controls the weather. |
| Electrode | Electric | 80 | 120 | 90 | 70 | 90 | 40 | - | An underground Pokémon that generates electricity in its body to attack its opponents. |",0.7037087082862854,0.2449587136507034
Shieldon,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Shieldon | Ground | 60 | 120 | 90 | 65 | 45 | 70 | - | A large, armored Pokémon that can create powerful shockwaves. Its shell is very hard to break through. |",0.5008826851844788,0.1428827047348022
"Meowscarada, Kyogre","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Meowscarada | Normal | 60 | 120 | 90 | 75 | 100 | 40 | - | A large, majestic cat-like Pokémon. Its fur is so thick and luxurious that it can protect itself from any attack. |
| Kyogre | Water | 80 | 130 | 100 | 80 | 120 | 50 | - | The sea god of the ocean. It has immense power to control water and create massive waves. |",0.7231957912445068,0.2506957650184631
"Litten, Copperajah","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Litten | Fire | 60 | 85 | 70 | 120 | 90 | 40 | Purrloin | A small, fiery cat-like Pokémon. It has the ability to generate intense heat from its body, which it uses to attack its opponents. |
| Copperajah | Electric | 70 | 90 | 80 | 130 | 100 | 50 | Jolteon | A large, copper-colored Pokémon with electric powers. Its body is covered in electrically charged plates that allow it to conduct electricity. |",0.585394561290741,0.1398946046829223
"Solgaleo, Alcremie","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Solgaleo | Dragon | 90 | 125 | 67 | 83 | 45 | 105 | - | A legendary Pokémon said to have been born from the sun. It has incredible power and can create massive solar flares that can destroy everything in its path. |
| Alcremie | Fairy | 60 | 90 | 60 | 70 | 40 | 80 | - | A beautiful fairy-type Pokémon known for its graceful movements and stunning appearance. Its beauty is said to be able to heal any wound. |",0.7092497944831848,0.243249773979187
"Hariyama, Lairon, Cyclizar, Duosion","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hariyama | Ground | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, slow-moving Pokémon with powerful legs. It can create massive earthquakes by stomping on the ground. |
| Lairon | Rock | 70 | 130 | 90 | 100 | 75 | 50 | - | An ancient Pokémon that has been fossilized for millions of years. Its body is covered in hard rock scales and it has sharp claws. |
| Cyclizar | Bug | 60 | 100 | 80 | 90 | 70 | 50 | - | A strange, insect-like Pokémon with multiple limbs. It can shoot poisonous spikes from its body to attack its opponents. |
| Duosion | Steel | 70 | 120 | 90 | 100 | 80 | 60 | - | A Pokémon made entirely of steel, including its bones and muscles. It has a high defense stat due to its tough metal body. |",0.6308789253234863,0.1383789777755737
Slaking,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Slaking | Ground / Dragon | 90 | 125 | 65 | 85 | 70 | 45 | evolves from Loudred at level 30 | A powerful and intimidating Pokémon with great strength. Its roar can cause earthquakes and its claws are coated in powerful toxins. |",0.5395616292953491,0.139561653137207
Charizard,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Charizard | Fire / Flying | 120 | 165 | 90 | 75 | 130 | 85 | Charmeleon | A powerful and intimidating Pokémon with flames erupting from its mouth. It can fly at incredible speeds using its large wings. |",0.6159983277320862,0.2449983656406402
"Dhelmise, Sandshrew","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dhelmise | Water | 65 | 120 | 90 | 80 | 70 | 40 | - | A sea serpent-like Pokémon that can create massive waves and whirlpools. Its powerful tail is capable of causing massive destruction. |
| Sandshrew | Ground | 45 | 70 | 60 | 50 | 40 | 30 | - | An underground-dwelling Pokémon that uses its sharp claws to dig tunnels. It can also burrow into the ground at high speeds. |",0.7794868350028992,0.1479868292808532
"Onix, Gulpin, Skitty, Doublade","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Onix | Ground | 60 | 120 | 95 | 70 | 85 | 40 | - | A large, serpentine Pokémon that can control the earth. It is known for its incredible strength and ability to burrow underground. |
| Gulpin | Water | 50 | 90 | 70 | 60 | 80 | 30 | - | A small, jellyfish-like Pokémon that can swim at high speeds. Its sting can also cause paralysis in its opponents. |
| Skitty | Normal | 40 | 70 | 60 | 50 | 70 | 30 | - | A cute, mischievous Pokémon that loves to play tricks on its trainers. It has a strong sense of smell and can use its tail as an extra limb. |
